icao_code,iata_code,name,city,country,lat_decimal,lon_decimal,altitude
AYGA,GKA,GOROKA,GOROKA,PAPUA NEW GUINEA,-6.082,145.392,1610
AYMD,MAG,MADANG,MADANG,PAPUA NEW GUINEA,-5.207,145.789,7
AYMH,HGU,MOUNT HAGEN,MOUNT HAGEN,PAPUA NEW GUINEA,-5.826,144.296,1643
AYNZ,LAE,NADZAB,NADZAB,PAPUA NEW GUINEA,-6.57,146.726,73
AYPY,POM,PORT MORESBY JACKSONS INTERNATIONAL,PORT MORESBY,PAPUA NEW GUINEA,-9.443,147.22,45
AYWK,WWK,WEWAK INTERNATIONAL,WEWAK,PAPUA NEW GUINEA,-3.584,143.669,6
BGBW,UAK,NARSARSUAQ,NARSSARSSUAQ,GREENLAND,61.161,-45.427,35
BGCO,N/A,NERLERIT INAAT CONSTABLE PYNT,NERLERIT INAAT,GREENLAND,70.739,-22.646,14
BGGH,GOH,NUUK,GODTHAAB,GREENLAND,64.191,-51.678,87
BGJN,JAV,JACOBSHAVN,JAKOBSHAVN,GREENLAND,69.233,-51.067,34
BGKK,KUS,KULUSUK,KULUSUK,GREENLAND,65.583,-37.15,34
BGSF,SFJ,KANGERLUSSUAQ SONDRE STROMFJORD,SONDRESTROM,GREENLAND,67.017,-50.689,51
BGTL,THU,THULE AIR BASE,THULE,GREENLAND,76.531,-68.703,77
BIAR,AEY,AKUREYRI,AKUREYRI,ICELAND,65.66,-18.072,2
BIEG,EGS,EGILSSTADIR,EGILSSTADIR,ICELAND,65.283,-14.401,24
BIHN,HFN,HORNAFJORDUR,HOFN,ICELAND,64.296,-15.227,8
BIHU,HZK,HUSAVIK,HUSAVIK,ICELAND,65.952,-17.426,14
BIIS,IFJ,ISAFJORDUR,ISAFJORDUR,ICELAND,66.058,-23.135,3
BIKF,KEF,KEFLAVIK NAS,KEFLAVIK,ICELAND,63.985,-22.606,53
BIKP,OPA,KOPASKER,KOPASKER,ICELAND,66.314,-16.461,7
BIPA,PFJ,PATREKSFJORDUR,PATREKSFJORDUR,ICELAND,65.556,-23.965,4
BIRK,RKV,REYKJAVIK,REYKJAVIK,ICELAND,64.13,-21.941,15
BISI,SIJ,SIGLUFJORDHUR,SIGLUFJORDUR,ICELAND,66.133,-18.917,4
BIVM,VEY,VESTMANNAEYJAR,VESTMANNAEYJAR,ICELAND,63.424,-20.279,100
CYAM,YAM,SAULT STE MARIE,SAULT SAINTE MARIE,CANADA,46.485,-84.509,193
CYAV,YAV,WINNIPEG ST ANDREWS,WINNIPEG,CANADA,50.056,-97.032,232
CYAW,YAW,SHEARWATER,HALIFAX,CANADA,44.64,-63.499,51
CYAY,YAY,ST ANTHONY,ST. ANTHONY,CANADA,51.392,-56.084,29
CYAZ,YAZ,TOFINO,TOFINO,CANADA,49.082,-125.772,25
CYBB,YBB,KUGAARUK,PELLY BAY,CANADA,68.534,-89.808,18
CYBC,YBC,BAIE COMEAU,BAIE COMEAU,CANADA,49.132,-68.207,22
CYBG,YBG,BAGOTVILLE,BAGOTVILLE,CANADA,48.331,-70.996,160
CYBK,YBK,BAKER LAKE,BAKER LAKE,CANADA,64.299,-96.078,18
CYBL,YBL,CAMPBELL RIVER,CAMPBELL RIVER,CANADA,49.951,-125.271,106
CYBR,YBR,BRANDON MUNI,BRANDON,CANADA,49.91,-99.952,410
CYCB,YCB,CAMBRIDGE BAY,CAMBRIDGE BAY,CANADA,69.108,-105.138,28
CYCD,YCD,NANAIMO,NANAIMO,CANADA,49.052,-123.87,29
CYCG,YCG,CASTLEGAR,CASTLEGAR,CANADA,49.296,-117.632,495
CYCH,YCH,MIRAMICHI,CHATHAM,CANADA,47.008,-65.449,33
CYCL,YCL,CHARLO,CHARLO,CANADA,47.991,-66.331,41
CYCO,YCO,KUGLUKTUK,COPPERMINE,CANADA,67.817,-115.144,23
CYCT,YCT,CORONATION,CORONATION,CANADA,52.075,-111.445,791
CYCW,YCW,CHILLIWACK,CHILLIWACK,CANADA,49.153,-121.939,10
CYCY,YCY,CLYDE RIVER,CLYDE RIVER,CANADA,70.486,-68.517,27
CYCZ,YZS,FAIRMONT HOT SPRINGS,CORAL HARBOUR,CANADA,50.332,-115.874,811
CYDA,YDA,DAWSON,DAWSON,CANADA,64.043,-139.128,371
CYDB,YDB,BURWASH,BURWASH,CANADA,61.371,-139.041,807
CYDC,YDC,PRINCETON,PRINCETON,CANADA,49.468,-120.512,701
CYDF,YDF,DEER LAKE,DEER LAKE,CANADA,49.211,-57.391,22
CYDL,YDL,DEASE LAKE,DEASE LAKE,CANADA,58.422,-130.032,793
CYDN,YDN,DAUPHIN BARKER,DAUPHIN,CANADA,51.101,-100.052,305
CYDQ,YDQ,DAWSON CREEK,DAWSON CREEK,CANADA,55.742,-120.182,655
CYED,YED,EDMONTON NAMAO,EDMONTON,CANADA,53.667,-113.467,0
CYEG,YEG,EDMONTON INTERNATIONAL,EDMONTON,CANADA,53.31,-113.58,724
CYEK,YEK,ARVIAT,ESKIMO POINT,CANADA,61.094,-94.071,10
CYEN,YEN,ESTEVAN,ESTEVAN,CANADA,49.21,-102.966,581
CYET,YET,EDSON,EDSON,CANADA,53.579,-116.465,927
CYEU,YEU,EUREKA,EUREKA,CANADA,79.995,-85.813,79
CYEV,YEV,INUVIK MIKE ZUBKO,INUVIK,CANADA,68.304,-133.483,69
CYFB,YFB,IQALUIT,IQALUIT,CANADA,63.756,-68.556,34
CYFC,YFC,FREDERICTON,FREDERICTON,CANADA,45.869,-66.532,21
CYFE,N/A,FORESTVILLE,FORESTVILLE,CANADA,48.746,-69.097,9
